language,country-code,geoId,name,local-name,trimmed-name,is-exclude
jp,BJ,30054033,Arrondissement 5,5区,5,TRUE
jp,HU,30018341,6. Terézváros (Theresa Town),6区,6,TRUE
jp,BJ,30054035,Arrondissement 7,7区,7,TRUE
jp,CH,30018365,District 7,7区,7,TRUE
jp,BJ,30054036,Arrondissement 8,8区,8,TRUE
jp,CH,30018366,District 8,8区,8,TRUE
jp,HU,30018357,15. Rákospalota - Újpalota - Pestújhely,15区,15,TRUE
jp,BD,4011286160,Ward - 17,17区,17,TRUE
jp,BD,4011285945,Ward - 19,19区,19,TRUE
jp,BD,4011285940,Ward - 21,21区,21,TRUE
jp,BD,4011285873,Ward - 22,22区,22,TRUE
jp,BD,4011285744,Ward - 23,23区,23,TRUE
jp,JP,30019540,23 Wards (Airport Transport),23区,23,TRUE
jp,BD,4011285681,Ward - 24,24区,24,TRUE
jp,BD,4011285847,Ward - 26,26区,26,TRUE
jp,BD,4011285533,Ward - 27,27区,27,TRUE
jp,BD,4011285875,Ward - 27,27区,27,TRUE
jp,BD,4011286864,Ward - 27,27区,27,TRUE
jp,BD,4011285435,Ward - 28,28区,28,TRUE
jp,BD,4011285678,Ward - 31,31区,31,TRUE
jp,BD,4011285228,Ward - 32,32区,32,TRUE
jp,BD,4011282477,Ward - 33,33区,33,TRUE
jp,BD,4011285510,Ward - 34,34区,34,TRUE
jp,BD,4011286376,Ward - 35,35区,35,TRUE
jp,BD,4011285922,Ward - 37,37区,37,TRUE
jp,BD,4011285739,Ward - 38,38区,38,TRUE
jp,BD,4011285944,Ward - 43,43区,43,TRUE
jp,BD,4011285671,Ward - 53,53区,53,TRUE
jp,BD,4011285423,Ward - 59,59区,59,TRUE
jp,BD,4011285403,Ward - 61,61区,61,TRUE
jp,BD,4011285498,Ward - 62,62区,62,TRUE
jp,BD,4011286840,Ward - 66,66区,66,TRUE
jp,BD,4011284980,Ward - 70,70区,70,TRUE
jp,BD,4011286542,Ward - 71,71区,71,TRUE
jp,BD,4011286313,Ward - 73,73区,73,TRUE
jp,BD,4011284971,Ward - 74,74区,74,TRUE
jp,BD,4011284962,Ward - 75,75区,75,TRUE
jp,BD,4011286601,Ward - 77,77区,77,TRUE
jp,BD,4011286305,Ward - 79,79区,79,TRUE
jp,BD,4011286473,Ward - 82,82区,82,TRUE
jp,BD,4011285227,Ward - 85,85区,85,TRUE
jp,BD,4011285109,Ward - 86,86区,86,TRUE
jp,BD,4011286399,Ward - 89,89区,89,TRUE
jp,EG,4000359211,Sixth of October 1 City,10月6日市第1地区,10月6日市第1地,TRUE
jp,UY,30068312,Municipio A,A区,A,TRUE
jp,RO,4000684899,Comuna Bâcleş,Bâcleș村,Bâcleș,TRUE
jp,HU,4009644341,Bátonyterenyei Járás,Bátonyterenye地区,Bátonyterenye地,TRUE
jp,SE,4003337401,Bollebygds Kommun,Bollebygd市,Bollebygd,TRUE
jp,RO,4000684169,Comuna Boroşneu Mare,Boroşneu Mare村,Boroşneu Mare,TRUE
jp,VE,4008129188,Municipio Buroz,Buroz市,Buroz,TRUE
jp,TR,4008693459,Büyük Derbent Bucağı,Büyük Derbent 地区,Büyük Derbent 地,TRUE
jp,RO,4000681805,Comuna Cândeşti Vale,Cândești Vale村,Cândești Vale,TRUE
jp,AR,4003860849,Departamento de Collón-Curá,Collón Curá 地区,Collón Curá 地,TRUE
jp,SI,4003239181,Občina Črna na Koroškem,Črna na Koroškem町,Črna na Koroškem,TRUE
jp,SI,4003202332,Občina Črnomelj,Črnomelj市,Črnomelj,TRUE
jp,SI,4009794374,Črnuče District,Črnuče地区,Črnuče地,TRUE
jp,SE,4002718152,Dals-Ed Kommun,Dals-Ed市,Dals-Ed,TRUE
jp,VE,4003640848,Municipio Federación,Federación市,Federación,TRUE
jp,RO,4000677920,Comuna Frătăuţii Vechi,Frătăuţii Vechi村,Frătăuţii Vechi,TRUE
jp,AL,4000783171,Komuna e Gjegjanit,Gjegjan市,Gjegjan,TRUE
jp,RO,4008334686,Comuna I. L. Caragiale,I.L.カラジャレ村,I.L.カラジャレ,TRUE
jp,TR,4010014926,İliç Bucağı,İリチ地区,İリチ地,TRUE
jp,PL,4007530864,Powiat łęczyński,Łęczyński郡,Łęczyński,TRUE
jp,RO,4000674236,Comuna Măceşu de Jos,Măceşu de Jos村,Măceşu de Jos,TRUE
jp,RO,4000673991,Comuna Malu,Malu村,Malu,TRUE
jp,SE,4002691457,Mölndals kommun,Mölndal市,Mölndal,TRUE
jp,SE,4008127495,Partille socken,Partille 地区,Partille 地,TRUE
jp,RO,4000669001,Comuna Rediu-Tătar,Rediu-Tatar村,Rediu-Tatar,TRUE
