language,country-code,geoId,name,local-name,trimmed-name,is-exclude
kr,AU,30018482,Canberra City,캔버라 시,캔버라,FALSE
kr,AU,30018483,Canberra City,캔버라 시,캔버라,FALSE
kr,AU,4002058592,City of West Torrens,웨스트 토렌스 시,웨스트 토렌스,FALSE
kr,AU,30018467,Moreton Island,모턴 섬,모턴,FALSE
kr,AU,30018749,Cairns City,케언스 시,케언스,FALSE
kr,AU,30018819,Fitzroy Island,피츠로이 섬,피츠로이,FALSE
kr,AU,30019014,Tiwi,티위 제도,티위,FALSE
kr,AU,4007839409,Tiwi Islands,티위 제도,티위,FALSE
kr,AU,30073170,Coral Sea Islands Territory,산호해 제도,산호해,FALSE
kr,AU,30073169,Ashmore and Cartier Islands,애쉬모어 카르티에 제도,애쉬모어 카르티에,FALSE
kr,AU,4007839486,City of Cockburn,콕번 시,콕번,FALSE
kr,AU,4002063522,City of Perth,퍼스 시,퍼스,FALSE
kr,AU,4002207253,Gibson Island,깁슨섬,깁슨,FALSE
kr,MW,30039549,Blantyre City,블랜타이어 시,블랜타이어,FALSE
kr,MW,30039801,Zomba City,좀바 시,좀바,FALSE
kr,MW,30039690,Mzuzu City,므주주 시,므주주,FALSE
kr,MW,30039627,Lilongwe City,릴롱웨 시,릴롱웨,FALSE
kr,AT,4002760633,Politischer Bezirk Zell am See,첼암제군,첼암제,FALSE
kr,AT,4002763928,Politischer Bezirk Tamsweg,탐스베크 행정구,탐스베크 행정,FALSE
kr,AT,4002766642,Politischer Bezirk Sankt Johann im Pongau,장크트요한임퐁가우구,장크트요한임퐁가우,FALSE
kr,AT,4002766817,Politischer Bezirk Salzburg-Umgebung,잘츠부르크-움게붕 구,잘츠부르크-움게붕,FALSE
kr,AT,4002776950,Politischer Bezirk Hallein,할라인 구,할라인,FALSE
kr,AT,4002780740,Politischer Bezirk Dornbirn,도른비른 행정구,도른비른 행정,FALSE
kr,AT,4002781679,Politischer Bezirk Bludenz,블루덴츠 행정구,블루덴츠 행정,FALSE
kr,AT,4002775219,Politischer Bezirk Innsbruck Land,인스브루크란트구,인스브루크란트,FALSE
kr,AT,4002771016,Politischer Bezirk Murau,무라우 구,무라우,FALSE
kr,AT,4002772752,Politischer Bezirk Leibnitz,라이프니츠구,라이프니츠,FALSE
kr,AT,4008604687,Politischer Bezirk Hartberg-Fürstenfeld,하르트베르크퓌르스텐펠트구,하르트베르크퓌르스텐펠트,FALSE
kr,AT,4002781022,Politischer Bezirk Deutschlandsberg,도이치란츠베르크구,도이치란츠베르크,FALSE
kr,AT,4002762326,Politischer Bezirk Voitsberg,보이츠베르크구,보이츠베르크,FALSE
kr,AT,4008604689,Politischer Bezirk Südoststeiermark,쥐트오스트슈타이어마르크 행정구,쥐트오스트슈타이어마르크 행정,FALSE
kr,AT,4008604685,Politischer Bezirk Murtal,무르탈구,무르탈,FALSE
kr,AT,4002774389,Politischer Bezirk Kirchdorf an der Krems,키르히도르프안데어크렘스 구,키르히도르프안데어크렘스,FALSE
kr,AT,4002779274,Politischer Bezirk Freistadt,프라이슈타트구,프라이슈타트,FALSE
kr,AT,4002780393,Politischer Bezirk Eferding,에페르딩 구,에페르딩,FALSE
kr,AT,4002762517,Politischer Bezirk Urfahr-Umgebung,우어파어-움게붕 구,우어파어-움게붕,FALSE
kr,AT,4002767290,Politischer Bezirk Rohrbach,로르바흐구,로르바흐,FALSE
kr,AT,4002767470,Politischer Bezirk Ried im Innkreis,리트임인크라이스크군,리트임인크라이스크,FALSE
kr,AT,4002773697,Politischer Bezirk Korneuburg,코르노이부르크구,코르노이부르크,FALSE
kr,AT,4002778876,Politischer Bezirk Gänserndorf,겐저른도르프구,겐저른도르프,FALSE
kr,AT,4002781372,Politischer Bezirk Bruck an der Leitha,브루크안데어라이타구,브루크안데어라이타,FALSE
kr,AT,4002760421,Politischer Bezirk Zwettl,츠베틀 구,츠베틀,FALSE
kr,AT,4002761352,Politischer Bezirk Wiener Neustadt,비너노이슈타트구,비너노이슈타트,FALSE
kr,AT,4002782554,Politischer Bezirk Amstetten,암슈테텐구,암슈테텐,FALSE
kr,AT,4002771333,Politischer Bezirk Mödling,뫼들링 구,뫼들링,FALSE
kr,AT,4002771556,Politischer Bezirk Mistelbach,미스텔바흐구,미스텔바흐,FALSE
kr,AT,4002772469,Politischer Bezirk Lilienfeld,릴리엔펠트구,릴리엔펠트,FALSE
kr,AT,4002761332,Politischer Bezirk Wien-Umgebung,빈-움게붕 구,빈-움게붕,FALSE
kr,AT,4002762314,Politischer Bezirk Völkermarkt,푈케르마르크트구,푈케르마르크트,FALSE
kr,AT,4002766358,Politischer Bezirk Sankt Veit an der Glan,장크트파이트안데어글란구,장크트파이트안데어글란,FALSE
kr,AT,4002774323,Politischer Bezirk Klagenfurt Land,클라겐푸르트란트구,클라겐푸르트란트,FALSE
kr,AT,4002776496,Politischer Bezirk Hermagor,헤르마고어 구,헤르마고어,FALSE
kr,AT,4002770682,Politischer Bezirk Neusiedl am See,노이지들암제군,노이지들암제,FALSE
kr,AT,4002771816,Politischer Bezirk Mattersburg,마터스부르크구,마터스부르크,FALSE
kr,AT,4002775088,Politischer Bezirk Jennersdorf,예너스도르프구,예너스도르프,FALSE
kr,AT,4002777215,Politischer Bezirk Güssing,귀싱구,귀싱,FALSE
kr,TZ,30021844,Shinyanga Region,시니앙가 주,시니앙가,FALSE
kr,TZ,30028756,Ruvuma,루부마 주,루부마,FALSE
kr,TZ,30028755,Rukwa,루콰 주,루콰,FALSE
kr,TZ,30028754,Pwani,프와니 주,프와니,FALSE
kr,TZ,30028880,Ukerewe,우케레웨섬,우케레웨,FALSE
kr,TZ,30021826,Tabora Region,타보라 주,타보라,FALSE
kr,TZ,30021833,Dodoma Region,도도마 주,도도마,FALSE
kr,TZ,30021824,Iringa Region,이링가 주,이링가,FALSE
kr,TZ,30021839,Katavi Region,카타비 주,카타비,FALSE
kr,TZ,30021831,Kigoma Region,키고마 주,키고마,FALSE
kr,TZ,30021825,Lindi Region,린디 주,린디,FALSE
kr,TZ,30021818,Manyara Region,마니 아라 주,마니 아라,FALSE
kr,TZ,30021817,Mara Region,마라 주,마라,FALSE
kr,TZ,30021821,Mbeya Region,므베야 주,므베야,FALSE
kr,TZ,30021829,Morogoro Region,모로고로 주,모로고로,FALSE
kr,TZ,30021823,Mtwara Region,므트와라 주,므트와라,FALSE
kr,TZ,30021843,Mwanza Region,므완자 주,므완자,FALSE
kr,TZ,30021840,Njombe Region,욤베 주,욤베,FALSE
kr,TZ,30021827,Pwani Region,프와니 주,프와니,FALSE
kr,TZ,30021830,Rukwa Region,루콰 주,루콰,FALSE
kr,TZ,30021828,Ruvuma Region,루부마 주,루부마,FALSE
kr,TZ,30021822,Singida Region,싱기다 주,싱기다,FALSE
kr,TZ,30021846,Songwe Region,송궤 주,송궤,FALSE
kr,TZ,30021832,Tanga Region,탕가 주,탕가,FALSE
kr,CI,30060969,Haut-Sassandra,오트사상드라 주,오트사상드라,FALSE
kr,CI,30060963,Agneby-Tiassa,아그네비티아사 주,아그네비티아사,FALSE
kr,CI,30021063,Lacs,락스 주,락스,FALSE
kr,CI,30021058,Goh-Djiboua,고지부아 주,고지부아,FALSE
kr,CI,30060958,Loh-Djiboua,로지부아 주,로지부아,FALSE
kr,MU,30064106,Agalega Islands,아가갈레가 제도,아가갈레가,FALSE
kr,MU,30064108,Saint Brandon,세인트브랜던 제도,세인트브랜던,FALSE
kr,MU,30064107,Rodriguez,로드리게스 섬,로드리게스,FALSE
kr,CD,30021081,Kasai-Oriental,카사이오리엔탈 주,카사이오리엔탈,FALSE
kr,CD,30021085,Kasai-Central,카사이 중앙 주,카사이 중앙,FALSE
kr,CD,30021066,Ituri,이투리 주,이투리,FALSE
kr,CD,30021065,Haut-Uele,오트우엘레 주,오트우엘레,FALSE
kr,CD,30021074,Haut-Lomami,오트-로마미 주,오트-로마미,FALSE
kr,CD,30021078,Sud-Ubangi,수드우방기 주,수드우방기,FALSE
kr,CD,30021084,Sud-Kivu,남키부 주,남키부,FALSE
kr,CD,30021070,Nord-Ubangi,노르드우방기 주,노르드우방기,FALSE
kr,CD,30021068,Bas-Uele,바스-우엘레 주,바스-우엘레,FALSE
kr,CD,30021083,Nord-Kivu,노르키부 주,노르키부,FALSE
kr,TM,30021880,Lebap,레바프 주,레바프,FALSE
kr,TM,30061433,Serdar City,세르다르 시,세르다르,FALSE
kr,TM,30021882,Ahal,아할 주,아할,FALSE
kr,NO,4006940983,Grorud District,그루루드 구,그루루드,FALSE
