language,country-code,geoId,name,local-name,trimmed-name,is-exclude
vi,AE,30067890,Abu Dhabi Island,Đảo Abu Dhabi,Abu Dhabi,TRUE
vi,AE,30067893,Al Jubail Island,Đảo Al Jubail,Al Jubail,TRUE
vi,AE,30067898,Al Reem,Đảo Al Reem,Al Reem,TRUE
vi,AE,30067900,Al Suwwah,Đảo Al Suwwah,Al Suwwah,TRUE
vi,AE,30067901,Al Weheil Island,Đảo Al Weheil,Al Weheil,TRUE
vi,AE,30067902,Bairimayd Island,Đảo Bairimayd,Bairimayd,TRUE
vi,AE,30067903,Balghelam Island,Đảo Balghelam,Balghelam,TRUE
vi,AE,30067871,Flag Island,Đảo Cờ,Cờ,TRUE
vi,AE,30068002,Dalma Island,Đảo Dalma,Dalma,TRUE
vi,AE,30067910,Hudayriat Island,Đảo Hudayriyat,Hudayriyat,TRUE
vi,AE,30067914,Lulu Island,Đảo Lulu,Lulu,TRUE
vi,AE,30067920,Ramhan Island,Đảo Ramhan,Ramhan,TRUE
vi,AE,30067921,Ras Ghurab Island,Đảo Ras Ghurab,Ras Ghurab,TRUE
vi,AE,30067922,Saadiyat Island,Đảo Saadiyat,Saadiyat,TRUE
vi,AE,30068009,Sir Baniyas,Đảo Sir Bani Yas,Sir Bani Yas,TRUE
vi,AE,30067925,Umm Yifenah Island,Đảo Umm Yifenah,Umm Yifenah,TRUE
vi,AE,30067926,Yas Island,Đảo Yas,Yas,TRUE
vi,AE,30067928,Zeraa Island,Đảo Zeraa,Zeraa,TRUE
vi,AE,30067912,Khalifa City A,Thành phố Khalifa A,Khalifa A,TRUE
vi,AE,30067917,Mohamed Bin Zayet City,Thành phố Mohamed Bin Zayed,Mohamed Bin Zayed,TRUE
vi,AF,30020827,Badakhshan Province,Tỉnh Badakhshan,Badakhshan,TRUE
vi,AF,30020845,Badghis Province,Tỉnh Badghis,Badghis,TRUE
vi,AF,30020839,Baghlan Province,Tỉnh Baghlan,Baghlan,TRUE
vi,AF,30020841,Balkh Province,Tỉnh Balkh,Balkh,TRUE
vi,AF,30020850,Bamyan Province,Tỉnh Bamyan,Bamyan,TRUE
