language,country-code,geoId,name,local-name,trimmed-name,is-exclude
jp,MY,108190,Melaka City,メラカ市,メラカ,FALSE
jp,MY,108222,Pulau Jerejak,ジェレジャク島,ジェレジャク,FALSE
jp,MY,108435,Jerejak Island,ジェレジャク島,ジェレジャク,FALSE
jp,MY,108005,Sibu Island,シブ島,シブ,FALSE
jp,MY,108294,Sibu Island,シブ島,シブ,FALSE
jp,MY,108119,Kuantan City,クアンタン市,クアンタン,FALSE
kr,MY,108119,Kuantan City,콴탄시,콴탄,FALSE
vi,VN,10010201,Dien Bien Province,Tỉnh Điện Biên,Điện Biên,FALSE
vi,VN,10010203,Dien Bien Phu City,Thành phố Điện Biên Phủ,Điện Biên Phủ,FALSE
vi,VN,30015394,Thanh Minh Commune,Xã Thanh Minh,Thanh Minh,FALSE
vi,VN,30015393,Ta Leng Commune,Xã Tà Lèng,Tà Lèng,FALSE
vi,VN,10009924,Quang Tri Town,Thị xã Quảng Trị,Quảng Trị,FALSE
vi,VN,30014576,Hai Le Commune,Xã Hải Lệ,Hải Lệ,FALSE
vi,VN,10011239,Loc Ninh Commune,Xã Lộc Ninh,Lộc Ninh,FALSE
vi,VN,30014671,Nghia Ninh Commune,Xã Nghĩa Ninh,Nghĩa Ninh,FALSE
vi,VN,30014670,Bao Ninh Commune,Xã Bảo Ninh,Bảo Ninh,FALSE
vi,VN,30014672,Quang Phu Commune,Xã Quang Phú,Quang Phú,FALSE
vi,VN,30014674,Duc Ninh Commune,Xã Đức Ninh,Đức Ninh,FALSE
vi,VN,30014673,Thuan Duc Commune,Xã Thuận Đức,Thuận Đức,FALSE
vi,VN,30016855,Son Trach Commune,Xã Sơn Trạch,Sơn Trạch,FALSE
vi,VN,30012444,Bung Rieng Commune,Xã Bung Riềng,Bung Riềng,FALSE
vi,VN,30016049,Vinh An Commune,Xã Vĩnh An,Vĩnh An,FALSE
vi,VN,30016045,Vinh Hanh Commune,Xã Vĩnh Hanh,Vĩnh Hanh,FALSE
vi,VN,30016042,An Hoa Commune,Xã An Hòa,An Hòa,FALSE
vi,VN,30016053,Tan Phu Commune,Xã Tân Phú,Tân Phú,FALSE
vi,VN,30016050,Hoa Binh Thanh Commune,Xã Hòa Bình Thạnh,Hòa Bình Thạnh,FALSE
vi,VN,30016052,Vinh Nhuan Commune,Xã Vĩnh Nhuận,Vĩnh Nhuận,FALSE
vi,VN,30016054,Vinh Thanh Commune,Xã Vĩnh Thành,Vĩnh Thành,FALSE
vi,VN,30016048,Binh Hoa Commune,Xã Bình Hòa,Bình Hòa,FALSE
vi,VN,30016047,Vinh Binh Commune,Xã Vĩnh Bình,Vĩnh Bình,FALSE
vi,VN,30016044,Can Dang Commune,Xã Cần Đăng,Cần Đăng,FALSE
vi,VN,30016046,Binh Thanh Commune,Xã Bình Thạnh,Bình Thạnh,FALSE
vi,VN,30016051,Vinh Loi Commune,Xã Vĩnh Lợi,Vĩnh Lợi,FALSE
vi,VN,30016032,Quoc Thai Commune,Xã Quốc Thái,Quốc Thái,FALSE
vi,VN,30016038,Vinh Truong Commune,Xã Vĩnh Trường,Vĩnh Trường,FALSE
vi,VN,30016039,Vinh Hoi Dong Commune,Xã Vĩnh Hội Đông,Vĩnh Hội Đông,FALSE
vi,VN,30016033,Nhon Hoi Commune,Xã Nhơn Hội,Nhơn Hội,FALSE
vi,VN,30016034,Phu Huu Commune,Xã Phú Hữu,Phú Hữu,FALSE
vi,VN,30016036,Vinh Loc Commune,Xã Vĩnh Lộc,Vĩnh Lộc,FALSE
vi,VN,30016029,Khanh An Commune,Xã Khánh An,Khánh An,FALSE
vi,VN,30016035,Phu Hoi Commune,Xã Phú Hội,Phú Hội,FALSE
vi,VN,30014757,Vo Xu Township,Thị trấn Võ Xu,Võ Xu,FALSE
vi,VN,30016037,Vinh Hau Commune,Xã Vĩnh Hậu,Vĩnh Hậu,FALSE
vi,VN,30016040,Da Phuoc Commune,Xã Đa Phước,Đa Phước,FALSE
vi,VN,30016031,Khanh Binh Commune,Xã Khánh Bình,Khánh Bình,FALSE
vi,VN,30016028,An Phu Township,Thị trấn An Phú,An Phú,FALSE
vi,VN,30014783,La Hai Township,Thị trấn La Hai,La Hai,FALSE
vi,VN,30016063,Van Giao Commune,Xã Văn Giáo,Văn Giáo,FALSE
vi,VN,30016110,Vinh Trung Commune,Xã Vĩnh Trung,Vĩnh Trung,FALSE
vi,VN,30016065,An Nong Commune,Xã An Nông,An Nông,FALSE
vi,VN,30016113,Tan Lap Commune,Xã Tân Lập,Tân Lập,FALSE
vi,VN,30016056,Nui Voi Commune,Xã Núi Voi,Núi Voi,FALSE
vi,VN,30016111,Tan Loi Commune,Xã Tân Lợi,Tân Lợi,FALSE
vi,VN,30016059,Thoi Son Commune,Xã Thới Sơn,Thới Sơn,FALSE
vi,VN,30016057,Nhon Hung Commune,Xã Nhơn Hưng,Nhơn Hưng,FALSE
vi,VN,30016058,An Phu Commune,Xã An Phú,An Phú,FALSE
vi,VN,30014821,Ea Bar Commnune,Xã Ea Bar,Ea Bar,FALSE
vi,VN,30016112,An Hao Commune,Xã An Hảo,An Hảo,FALSE
vi,VN,30015791,Dai Tu Township,Thị trấn Đại Từ,Đại Từ,FALSE
vi,VN,30016064,An Cu Commune,Xã An Cư,An Cư,FALSE
vi,VN,10010267,Ha Hoa District,Huyện Hạ Hòa,Hạ Hòa,FALSE
vi,VN,30015551,My Khanh Commune,Xã Mỹ Khánh,Mỹ Khánh,FALSE
vi,VN,30015550,My Hoa Hung Commune,Xã Mỹ Hòa Hưng,Mỹ Hòa Hưng,FALSE
vi,VN,30015006,Ha Hoa Township,Thị trấn Hạ Hoà,Hạ Hoà,FALSE
vi,VN,10009916,Cau Go Township,Thị trấn Cầu Gồ,Cầu Gồ,FALSE
vi,VN,30016929,An Son Commune,Xã An Sơn,An Sơn,FALSE
vi,VN,30016953,Hon Tre Commune,Xã Hòn Tre,Hòn Tre,FALSE
vi,VN,30016908,Lai Son Commune,Xã Lại Sơn,Lại Sơn,FALSE
vi,VN,30016924,Nam Du Commune,Xã Nam Du,Nam Du,FALSE
vi,VN,30010281,Cat Ba Township,Thị trấn Cát Bà,Cát Bà,FALSE
vi,VN,30073482,Ca Mau,Tỉnh Cà Mau,Cà Mau,FALSE
vi,VN,10010058,Ca Mau Province,Tỉnh Cà Mau,Cà Mau,FALSE
vi,VN,30010284,Ca Mau city,Thành phố Cà Mau,Cà Mau,FALSE
vi,VN,10010035,Ha Nam Province,Tỉnh Hà Nam,Hà Nam,FALSE
vi,VN,10011137,Phu Ly City,Thành phố Phủ Lý,Phủ Lý,FALSE
vi,VN,30016236,Hung Hoi Commune,Xã Hưng Hội,Hưng Hội,FALSE
vi,VN,30016235,Chau Thoi Commune,Xã Châu Thới,Châu Thới,FALSE
vi,VN,30016239,Vinh Hung Commune,Xã Vĩnh Hưng,Vĩnh Hưng,FALSE
vi,VN,30016234,Chau Hung A Commune,Xã Châu Hưng A,Châu Hưng A,FALSE
vi,VN,30014357,Ha Lam Township,Thị trấn Hà Lam,Hà Lam,FALSE
vi,VN,30016240,Vinh Hung A Commune,Xã Vĩnh Hưng A,Vĩnh Hưng A,FALSE
vi,VN,30016237,Hung Thanh Commune,Xã Hưng Thành,Hưng Thành,FALSE
vi,VN,30016238,Long Thanh Commune,Xã Long Thạnh,Long Thạnh,FALSE
vi,VN,30010280,Ly Son District,Huyện Lý Sơn,Lý Sơn,FALSE
vi,VN,30015749,Hiep Thanh Commune,Xã Hiệp Thành,Hiệp Thành,FALSE
vi,VN,30015750,Vinh Trach Commune,Xã Vĩnh Trạch,Vĩnh Trạch,FALSE
vi,VN,30015751,Vinh Trach Dong Commune,Xã Vĩnh Trạch Đông,Vĩnh Trạch Đông,FALSE
vi,VN,10011467,Pleiku City,Thành phố Pleiku,Pleiku,FALSE
vi,VN,10010420,Son La city,Thành phố Sơn La,Sơn La,FALSE
vi,VN,30010635,Ky Anh Town,Thị xã Kỳ Anh,Kỳ Anh,FALSE
vi,VN,30015375,My Tan Commune,Xã Mỹ Tân,Mỹ Tân,FALSE
vi,VN,30015376,Hoa An Commune,Xã Hòa An,Hòa An,FALSE
vi,VN,30015370,My Tra Commune,Xã Mỹ Trà,Mỹ Trà,FALSE
vi,VN,30015377,Tinh Thoi Commune,Xã Tịnh Thới,Tịnh Thới,FALSE
vi,VN,30015369,My Ngai Commune,Xã Mỹ Ngãi,Mỹ Ngãi,FALSE
vi,VN,30015379,Tan Thuan Tay Commune,Xã Tân Thuận Tây,Tân Thuận Tây,FALSE
vi,VN,30015378,Tan Thuan Dong Commune,Xã Tân Thuận Đông,Tân Thuận Đông,FALSE
vi,VN,30016000,Tan Hoi Commune,Xã Tân Hội,Tân Hội,FALSE
vi,VN,30015998,An Binh B Commune,Xã An Bình B,An Bình B,FALSE
vi,VN,30015997,An Binh A Commune,Xã An Bình A,An Bình A,FALSE
vi,VN,30015999,Binh Thanh Commune,Xã Bình Thạnh,Bình Thạnh,FALSE
vi,VN,30016151,Tan Quy Tay Commune,Xã Tân Quy Tây,Tân Quy Tây,FALSE
vi,VN,30016148,Tan Khanh Dong Commune,Xã Tân Khánh Đông,Tân Khánh Đông,FALSE
vi,VN,30016152,Tan Phu Dong Commune,Xã Tân Phú Đông,Tân Phú Đông,FALSE
vi,VN,10010370,Ky Anh Township,Thị trấn Kỳ Anh,Kỳ Anh,FALSE
vi,VN,10010371,Ky Anh District,Huyện Kỳ Anh,Kỳ Anh,FALSE
vi,VN,30016838,Tan Thanh Binh Commune,Xã Tân Thành Bình,Tân Thành Bình,FALSE
vi,VN,30010662,Dong Ha City,Thành phố Đông Hà,Đông Hà,FALSE
vi,VN,30016839,An Khanh Commune,Xã An Khánh,An Khánh,FALSE
vi,VN,10010092,Can Gio District,Huyện Cần Giờ,Cần Giờ,FALSE
vi,VN,30016215,Dong Binh Commune,Xã Đông Bình,Đông Bình,FALSE
vi,VN,30016217,My Hoa Commune,Xã Mỹ Hòa,Mỹ Hòa,FALSE
vi,VN,30016214,Dong Thanh Commune,Xã Đông Thạnh,Đông Thạnh,FALSE
vi,VN,30016218,Dong Thanh Commune,Xã Đông Thành,Đông Thành,FALSE
vi,VN,10011461,Thuan An Commune,Xã Thuận An,Thuận An,FALSE
vi,VN,30015283,Tan Hoi Commune,Xã Tân Hội,Tân Hội,FALSE
vi,VN,30016041,An Chau Township,Thị trấn An Châu,An Châu,FALSE
vi,VN,30016209,Vi Trung Commune,Xã Vị Trung,Vị Trung,FALSE
vi,VN,30016207,Vi Dong Commune,Xã Vị Đông,Vị Đông,FALSE
vi,VN,30016208,Vi Thang Commune,Xã Vị Thắng,Vị Thắng,FALSE
vi,VN,30016206,Vi Binh Commune,Xã Vị Bình,Vị Bình,FALSE
vi,VN,30016211,Vinh Trung Commune,Xã Vĩnh Trung,Vĩnh Trung,FALSE
vi,VN,30016212,Vinh Tuong Commune,Xã Vĩnh Tường,Vĩnh Tường,FALSE
vi,VN,30016210,Vinh Thuan Tay Commune,Xã Vĩnh Thuận Tây,Vĩnh Thuận Tây,FALSE
vi,VN,30073485,Can Tho City,Thành phố Cần Thơ,Cần Thơ,FALSE
vi,VN,10010740,Vi Thanh Commune,Xã Vị Thanh,Vị Thanh,FALSE
vi,VN,10009849,Vi Thuy Commune,Xã Vị Thủy,Vị Thủy,FALSE
vi,VN,10009866,Can Tho City,Thành phố Cần Thơ,Cần Thơ,FALSE
vi,VN,30015773,Tan Tien Commune,Xã Tân Tiến,Tân Tiến,FALSE
vi,VN,30015771,Hoa Luu Commune,Xã Hỏa Lựu,Hỏa Lựu,FALSE
